date,Unnamed: 0,dscamt,SKY,PRE,WF,RN_ST,MIN,MAX,MIN_L,MIN_H,MAX_L,MAX_H
2019-12-04,3,396985758.0,0.0,0.0,0.0,10,-3.0,5.0,3.0,3.0,3.0,2.0
2019-12-05,4,364589895.0,0.0,0.0,0.0,10,-6.0,2.0,3.0,3.0,3.0,2.0
2019-12-06,5,360386531.0,0.0,0.0,0.0,10,-7.0,2.0,3.0,3.0,3.0,2.0
2019-12-07,6,395314050.0,2.0,0.0,1.0,30,-5.0,4.0,3.0,3.0,3.0,2.0
2019-12-08,7,483384266.0,0.0,0.0,0.0,10,-4.0,4.0,3.0,3.0,3.0,2.0
2019-12-09,8,463688700.0,0.0,0.0,0.0,20,-3.0,5.0,3.0,3.0,3.0,3.0
2019-12-10,9,406536030.0,0.0,0.0,0.0,20,-1.0,6.0,3.0,3.0,3.0,3.0
2019-12-11,10,383173810.0,0.0,0.0,0.0,20,-1.3333333333333333,6.333333333333333,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
2019-12-12,11,370752685.0,0.0,0.0,0.0,20,-1.6666666666666665,6.666666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335
2019-12-13,12,366816066.0,0.0,0.0,0.0,10,-2.0,7.0,2.0,2.0,2.0,2.0
2019-12-14,13,386275265.0,2.0,2.0,1.0,100.0,1.0,6.0,3.0,2.0,3.0,2.0
2019-12-15,14,472814268.0,0.0,0.0,0.0,10,-2.0,6.0,3.0,2.0,2.0,3.0
2019-12-16,15,456886683.0,2.0,0.0,1.0,30,2.0,7.0,3.0,2.0,2.0,2.0
2019-12-17,16,356458448.0,3.0,1.0,2.0,100.0,4.0,7.0,3.0,3.0,3.0,2.0
2019-12-18,17,347341587.0,0.0,0.0,0.0,20,1.0,5.0,3.0,3.0,3.0,2.0
2019-12-19,18,373373665.0,0.0,0.0,0.0,20,-3.0,3.0,1.0,3.0,2.0,2.0
2019-12-20,19,352512747.0,0.0,0.0,0.0,20,-2.3333333333333335,4.333333333333333,1.3333333333333333,2.6666666666666665,2.0,2.0
2019-12-21,20,383467224.0,0.0,0.0,0.0,20,-1.6666666666666667,5.666666666666666,1.6666666666666665,2.3333333333333335,2.0,2.0
2019-12-22,21,450133756.0,2.0,0.0,1.0,30,-1.0,7.0,2.0,2.0,2.0,2.0
2019-12-23,22,432556458.0,2.0,2.0,1.0,100.0,0.0,6.0,2.0,2.0,2.0,2.0
2019-12-24,23,378107336.0,0.0,0.0,0.0,10,-1.0,7.0,2.0,2.0,2.0,2.0
2019-12-25,24,388811048.0,2.0,0.0,1.0,30,1.0,7.0,3.0,3.0,3.0,3.0
