city_do_nm,date,dscamt
서울특별시,2019-12-01,484932719
서울특별시,2019-12-02,493996168
서울특별시,2019-12-03,427951370
서울특별시,2019-12-04,396985758
서울특별시,2019-12-05,364589895
서울특별시,2019-12-06,360386531
서울특별시,2019-12-07,395314050
서울특별시,2019-12-08,483384266
서울특별시,2019-12-09,463688700
서울특별시,2019-12-10,406536030
서울특별시,2019-12-11,383173810
서울특별시,2019-12-12,370752685
서울특별시,2019-12-13,366816066
서울특별시,2019-12-14,386275265
서울특별시,2019-12-15,472814268
서울특별시,2019-12-16,456886683
서울특별시,2019-12-17,356458448
서울특별시,2019-12-18,347341587
서울특별시,2019-12-19,373373665
서울특별시,2019-12-20,352512747
서울특별시,2019-12-21,383467224
서울특별시,2019-12-22,450133756
서울특별시,2019-12-23,432556458
서울특별시,2019-12-24,378107336
서울특별시,2019-12-25,388811048
서울특별시,2019-12-26,411689396
서울특별시,2019-12-27,361657639
서울특별시,2019-12-28,386459889
서울특별시,2019-12-29,438240115
서울특별시,2019-12-30,436021928
서울특별시,2019-12-31,390707739
서울특별시,2020-01-01,348222237
서울특별시,2020-01-02,375193766
서울특별시,2020-01-03,323640074
서울특별시,2020-01-04,333024738
서울특별시,2020-01-05,391434077
서울특별시,2020-01-06,364887327
서울특별시,2020-01-07,299778668
서울특별시,2020-01-08,365421926
서울특별시,2020-01-09,322672397
서울특별시,2020-01-10,313119048
서울특별시,2020-01-11,325355928
서울특별시,2020-01-12,389972694
서울특별시,2020-01-13,371951238
서울특별시,2020-01-14,337060197
서울특별시,2020-01-15,314924479
서울특별시,2020-01-16,313698777
서울특별시,2020-01-17,315648135
서울특별시,2020-01-18,335051427
서울특별시,2020-01-19,404741698
서울특별시,2020-01-20,396473627
서울특별시,2020-01-21,373556658
서울특별시,2020-01-22,386682696
서울특별시,2020-01-23,465719695
서울특별시,2020-01-24,505343638
서울특별시,2020-01-25,316299388
서울특별시,2020-01-26,344878396
서울특별시,2020-01-27,461775567
서울특별시,2020-01-28,430463806
서울특별시,2020-01-29,362058224
서울특별시,2020-01-30,354835548
서울특별시,2020-01-31,337927487
서울특별시,2020-02-01,429461099
서울특별시,2020-02-02,527034709
서울특별시,2020-02-03,478431729
서울특별시,2020-02-04,401785108
서울특별시,2020-02-05,359178804
서울특별시,2020-02-06,380987468
서울특별시,2020-02-07,392977896
서울특별시,2020-02-08,437717447
서울특별시,2020-02-09,446041605
서울특별시,2020-02-10,463184867
서울특별시,2020-02-11,408404808
서울특별시,2020-02-12,350307804
서울특별시,2020-02-13,412026428
서울특별시,2020-02-14,381794964
서울특별시,2020-02-15,400404520
서울특별시,2020-02-16,442399253
서울특별시,2020-02-17,418656469
서울특별시,2020-02-18,400966357
서울특별시,2020-02-19,386253756
서울특별시,2020-02-20,383552549
서울특별시,2020-02-21,366046189
서울특별시,2020-02-22,408953334
서울특별시,2020-02-23,515354604
서울특별시,2020-02-24,416321316
서울특별시,2020-02-25,406501475
서울특별시,2020-02-26,432852683
서울특별시,2020-02-27,415804737
서울특별시,2020-02-28,364290825
서울특별시,2020-02-29,463052027
서울특별시,2020-03-01,497354264
서울특별시,2020-03-02,455547442
서울특별시,2020-03-03,419949317
서울특별시,2020-03-04,370529248
서울특별시,2020-03-05,396034585
서울특별시,2020-03-06,382705351
서울특별시,2020-03-07,412423367
서울특별시,2020-03-08,500313866
서울특별시,2020-03-09,451867058
서울특별시,2020-03-10,368743027
서울특별시,2020-03-11,414654446
서울특별시,2020-03-12,383028618
서울특별시,2020-03-13,371447367
서울특별시,2020-03-14,399625388
서울특별시,2020-03-15,396281425
서울특별시,2020-03-16,453694787
서울특별시,2020-03-17,400500629
서울특별시,2020-03-18,404285743
서울특별시,2020-03-19,364760475
서울특별시,2020-03-20,401245277
서울특별시,2020-03-21,410746322
서울특별시,2020-03-22,487748541
서울특별시,2020-03-23,453757000
서울특별시,2020-03-24,407430665
서울특별시,2020-03-25,398759596
서울특별시,2020-03-26,388213388
서울특별시,2020-03-27,385708428
서울특별시,2020-03-28,404017755
서울특별시,2020-03-29,483661885
서울특별시,2020-03-30,449727214
서울특별시,2020-03-31,401987956
서울특별시,2020-04-01,381690843
서울특별시,2020-04-02,390235498
서울특별시,2020-04-03,376387027
서울특별시,2020-04-04,392373407
서울특별시,2020-04-05,479412419
서울특별시,2020-04-06,442498267
서울특별시,2020-04-07,402605975
서울특별시,2020-04-08,383271277
서울특별시,2020-04-09,380934115
서울특별시,2020-04-10,371727718
서울특별시,2020-04-11,396112576
서울특별시,2020-04-12,400194943
서울특별시,2020-04-13,433063064
서울특별시,2020-04-14,390865769
서울특별시,2020-04-15,398945646
서울특별시,2020-04-16,419498957
서울특별시,2020-04-17,350376816
서울특별시,2020-04-18,421626074
서울특별시,2020-04-19,420337464
서울특별시,2020-04-20,472733467
서울특별시,2020-04-21,389263059
서울특별시,2020-04-22,375171108
서울특별시,2020-04-23,382472979
서울특별시,2020-04-24,373075707
서울특별시,2020-04-25,397941157
서울특별시,2020-04-26,478295543
서울특별시,2020-04-27,449579139
서울특별시,2020-04-28,401041696
서울특별시,2020-04-29,395589483
서울특별시,2020-04-30,391772042
서울특별시,2020-05-01,396479098
서울특별시,2020-05-02,459429702
서울특별시,2020-05-03,472245768
서울특별시,2020-05-04,465219705
서울특별시,2020-05-05,436628291
서울특별시,2020-05-06,465230083
서울특별시,2020-05-07,416423347
서울특별시,2020-05-08,389368358
서울특별시,2020-05-09,381701539
서울특별시,2020-05-10,544924360
서울특별시,2020-05-11,497454136
서울특별시,2020-05-12,431052038
서울특별시,2020-05-13,418186594
서울특별시,2020-05-14,414822112
서울특별시,2020-05-15,354875736
서울특별시,2020-05-16,468539738
서울특별시,2020-05-17,555143084
서울특별시,2020-05-18,448763432
