year,mt,dt,day,city_code,city_do_nm,city_gn_gu_nm,dscamt,dscamt_rate,dis_co,dis_co_rate
2020,01,01,4,W01,서울특별시,종로구,3324150,3.02,2124,2.97
2020,01,02,5,W01,서울특별시,종로구,3548600,3.23,2306,3.23
2020,01,03,6,W01,서울특별시,종로구,3151900,2.87,2109,2.95
2020,01,04,7,W01,서울특별시,종로구,3246350,2.95,2115,2.96
2020,01,05,1,W01,서울특별시,종로구,3879200,3.53,2462,3.45
2020,01,06,2,W01,서울특별시,종로구,3766350,3.42,2432,3.41
2020,01,07,3,W01,서울특별시,종로구,2992550,2.72,1968,2.76
2020,01,08,4,W01,서울특별시,종로구,3540200,3.22,2404,3.37
2020,01,09,5,W01,서울특별시,종로구,2995200,2.72,2065,2.89
2020,01,10,6,W01,서울특별시,종로구,3042850,2.77,2081,2.91
2020,01,11,7,W01,서울특별시,종로구,3100750,2.82,2072,2.9
2020,01,12,1,W01,서울특별시,종로구,3709250,3.37,2394,3.35
2020,01,13,2,W01,서울특별시,종로구,3555850,3.23,2356,3.3
2020,01,14,3,W01,서울특별시,종로구,3450700,3.14,2302,3.22
2020,01,15,4,W01,서울특별시,종로구,3048100,2.77,2161,3.03
2020,01,16,5,W01,서울특별시,종로구,2888800,2.63,2041,2.86
2020,01,17,6,W01,서울특별시,종로구,3046450,2.77,2116,2.96
2020,01,18,7,W01,서울특별시,종로구,3356950,3.05,2165,3.03
2020,01,19,1,W01,서울특별시,종로구,3650650,3.32,2364,3.31
2020,01,20,2,W01,서울특별시,종로구,3906900,3.55,2513,3.52
2020,01,21,3,W01,서울특별시,종로구,3531850,3.21,2363,3.31
2020,01,22,4,W01,서울특별시,종로구,4027200,3.66,2521,3.53
2020,01,23,5,W01,서울특별시,종로구,4390800,3.99,2950,4.13
2020,01,24,6,W01,서울특별시,종로구,5211400,4.74,3152,4.41
2020,01,25,7,W01,서울특별시,종로구,3068250,2.79,1874,2.62
2020,01,26,1,W01,서울특별시,종로구,3310850,3.01,1876,2.63
2020,01,27,2,W01,서울특별시,종로구,4280750,3.89,2459,3.44
2020,01,28,3,W01,서울특별시,종로구,4534350,4.12,2713,3.8
2020,01,29,4,W01,서울특별시,종로구,3721350,3.38,2376,3.33
2020,01,30,5,W01,서울특별시,종로구,3409550,3.1,2288,3.2
2020,01,31,6,W01,서울특별시,종로구,3311150,3.01,2295,3.21
2020,01,01,4,W02,서울특별시,중구,6620250,3.26,4577,3.19
2020,01,02,5,W02,서울특별시,중구,6493200,3.2,4535,3.16
2020,01,03,6,W02,서울특별시,중구,5663150,2.79,4212,2.93
2020,01,04,7,W02,서울특별시,중구,6066500,2.99,4368,3.04
2020,01,05,1,W02,서울특별시,중구,8233250,4.05,5770,4.02
2020,01,06,2,W02,서울특별시,중구,6575200,3.24,4718,3.29
2020,01,07,3,W02,서울특별시,중구,4884150,2.4,3530,2.46
2020,01,08,4,W02,서울특별시,중구,6188250,3.05,4649,3.24
