,REG_ID,TM_FC,TM_EF,MOD,STN,C,SKY,PRE,CONF,WF,RN_ST,MIN,MAX,MIN_L,MIN_H,MAX_L,MAX_H,date
0,11B10101,201912010600,201912040000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-3,5,3,3,3,2,2019-12-04
1,11B10101,201912010600,201912050000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-6,2,3,3,3,2,2019-12-05
2,11B10101,201912010600,201912060000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-7,2,3,3,3,2,2019-12-06
3,11B10101,201912010600,201912070000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,-5,4,3,3,3,2,2019-12-07
4,11B10101,201912010600,201912080000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-4,4,3,3,3,2,2019-12-08
5,11B10101,201912010600,201912090000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-3,5,3,3,3,3,2019-12-09
6,11B10101,201912010600,201912100000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-1,6,3,3,3,3,2019-12-10
7,11B10101,201912100600,201912130000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-2,7,2,2,2,2,2019-12-13
8,11B10101,201912100600,201912140000,A01,109,2,WB03,WB11,¾øA½,"""구름많고","비/눈""",1,6,3,2,3,2,2019-12-14
9,11B10101,201912100600,201912150000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-2,6,3,2,2,3,2019-12-15
10,11B10101,201912100600,201912160000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,2,7,3,2,2,2,2019-12-16
11,11B10101,201912100600,201912170000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",4,7,3,3,3,2,2019-12-17
12,11B10101,201912100600,201912180000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,1,5,3,3,3,2,2019-12-18
13,11B10101,201912100600,201912190000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-3,3,1,3,2,2,2019-12-19
14,11B10101,201912190600,201912220000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,-1,7,2,2,2,2,2019-12-22
15,11B10101,201912190600,201912230000,A01,109,2,WB03,WB11,¾øA½,"""구름많고","비/눈""",0,6,2,2,2,2,2019-12-23
16,11B10101,201912190600,201912240000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-1,7,2,2,2,2,2019-12-24
17,11B10101,201912190600,201912250000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,1,7,3,3,3,3,2019-12-25
18,11B10101,201912190600,201912260000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,0,5,3,3,3,3,2019-12-26
19,11B10101,201912190600,201912270000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-3,4,2,5,3,2,2019-12-27
20,11B10101,201912190600,201912280000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-3,4,3,3,3,3,2019-12-28
21,11B10101,201912280600,201912310000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-10,-2,1,3,1,2,2019-12-31
22,11B10101,201912280600,202001010000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,-7,1,1,2,1,2,2020-01-01
23,11B10101,201912280600,202001020000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,-3,5,2,2,2,2,2020-01-02
24,11B10101,201912280600,202001030000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-4,4,2,4,2,2,2020-01-03
25,11B10101,201912280600,202001040000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-4,3,3,3,3,1,2020-01-04
26,11B10101,201912280600,202001050000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-5,4,2,3,1,2,2020-01-05
27,11B10101,201912280600,202001060000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,-4,4,2,3,2,2,2020-01-06
28,11B10101,202001060600,202001090000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-4,3,1,1,1,1,2020-01-09
29,11B10101,202001060600,202001100000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",30,-4,4,2,1,1,1,2020-01-10
30,11B10101,202001060600,202001110000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,-2,5,1,1,1,1,2020-01-11
31,11B10101,202001060600,202001120000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",30,-2,3,1,2,1,1,2020-01-12
32,11B10101,202001060600,202001130000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-4,3,1,1,1,2,2020-01-13
33,11B10101,202001060600,202001140000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-4,3,2,2,1,1,2020-01-14
