,date,dscamt,REG_ID,TM_FC,TM_EF,MOD,STN,C,SKY,PRE,CONF,WF,RN_ST,MIN,MAX,MIN_L,MIN_H,MAX_L,MAX_H
0,2019-12-01,484932719.0,,,,,,,,,,,,,,,,,
1,2019-12-02,493996168.0,,,,,,,,,,,,,,,,,
2,2019-12-03,427951370.0,,,,,,,,,,,,,,,,,
3,2019-12-04,396985758.0,11B10101,201912010600,201912040000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-3,5,3,3,3,2
4,2019-12-05,364589895.0,11B10101,201912010600,201912050000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-6,2,3,3,3,2
5,2019-12-06,360386531.0,11B10101,201912010600,201912060000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-7,2,3,3,3,2
6,2019-12-07,395314050.0,11B10101,201912010600,201912070000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,-5,4,3,3,3,2
7,2019-12-08,483384266.0,11B10101,201912010600,201912080000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-4,4,3,3,3,2
8,2019-12-09,463688700.0,11B10101,201912010600,201912090000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-3,5,3,3,3,3
9,2019-12-10,406536030.0,11B10101,201912010600,201912100000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-1,6,3,3,3,3
10,2019-12-11,383173810.0,,,,,,,,,,,,,,,,,
11,2019-12-12,370752685.0,,,,,,,,,,,,,,,,,
12,2019-12-13,366816066.0,11B10101,201912100600,201912130000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-2,7,2,2,2,2
13,2019-12-14,386275265.0,11B10101,201912100600,201912140000,A01,109,2,WB03,WB11,¾øA½,"""구름많고","비/눈""",1,6,3,2,3,2
14,2019-12-15,472814268.0,11B10101,201912100600,201912150000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-2,6,3,2,2,3
15,2019-12-16,456886683.0,11B10101,201912100600,201912160000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,2,7,3,2,2,2
16,2019-12-17,356458448.0,11B10101,201912100600,201912170000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",4,7,3,3,3,2
17,2019-12-18,347341587.0,11B10101,201912100600,201912180000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,1,5,3,3,3,2
18,2019-12-19,373373665.0,11B10101,201912100600,201912190000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-3,3,1,3,2,2
19,2019-12-20,352512747.0,,,,,,,,,,,,,,,,,
20,2019-12-21,383467224.0,,,,,,,,,,,,,,,,,
21,2019-12-22,450133756.0,11B10101,201912190600,201912220000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,-1,7,2,2,2,2
22,2019-12-23,432556458.0,11B10101,201912190600,201912230000,A01,109,2,WB03,WB11,¾øA½,"""구름많고","비/눈""",0,6,2,2,2,2
23,2019-12-24,378107336.0,11B10101,201912190600,201912240000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-1,7,2,2,2,2
24,2019-12-25,388811048.0,11B10101,201912190600,201912250000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,1,7,3,3,3,3
25,2019-12-26,411689396.0,11B10101,201912190600,201912260000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,0,5,3,3,3,3
26,2019-12-27,361657639.0,11B10101,201912190600,201912270000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-3,4,2,5,3,2
27,2019-12-28,386459889.0,11B10101,201912190600,201912280000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-3,4,3,3,3,3
28,2019-12-29,438240115.0,,,,,,,,,,,,,,,,,
29,2019-12-30,436021928.0,,,,,,,,,,,,,,,,,
30,2019-12-31,390707739.0,11B10101,201912280600,201912310000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-10,-2,1,3,1,2
31,2020-01-01,348222237.0,11B10101,201912280600,202001010000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,-7,1,1,2,1,2
32,2020-01-02,375193766.0,11B10101,201912280600,202001020000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,-3,5,2,2,2,2
33,2020-01-03,323640074.0,11B10101,201912280600,202001030000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-4,4,2,4,2,2
34,2020-01-04,333024738.0,11B10101,201912280600,202001040000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-4,3,3,3,3,1
35,2020-01-05,391434077.0,11B10101,201912280600,202001050000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-5,4,2,3,1,2
36,2020-01-06,364887327.0,11B10101,201912280600,202001060000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,-4,4,2,3,2,2
37,2020-01-07,299778668.0,,,,,,,,,,,,,,,,,
38,2020-01-08,365421926.0,,,,,,,,,,,,,,,,,
39,2020-01-09,322672397.0,11B10101,202001060600,202001090000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-4,3,1,1,1,1
